Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/reachv1_is_live,Traj_Infos/reachv1_is_live_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pushv1_is_live,Traj_Infos/pushv1_is_live_traj_sum,Traj_Infos/pickplacev1_episode_success,Traj_Infos/pickplacev1_episode_success_traj_sum,Traj_Infos/pickplacev1_is_live,Traj_Infos/pickplacev1_is_live_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/dooropenv1_is_live,Traj_Infos/dooropenv1_is_live_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/drawerclosev1_is_live,Traj_Infos/drawerclosev1_is_live_traj_sum,Traj_Infos/buttonpresstopdownv1_episode_success,Traj_Infos/buttonpresstopdownv1_episode_success_traj_sum,Traj_Infos/buttonpresstopdownv1_is_live,Traj_Infos/buttonpresstopdownv1_is_live_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/windowopenv1_is_live,Traj_Infos/windowopenv1_is_live_traj_sum,Traj_Infos/basketballv1_episode_success,Traj_Infos/basketballv1_episode_success_traj_sum,Traj_Infos/basketballv1_is_live,Traj_Infos/basketballv1_is_live_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/draweropenv1_is_live,Traj_Infos/draweropenv1_is_live_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/doorclosev1_is_live,Traj_Infos/doorclosev1_is_live_traj_sum,Traj_Infos/shelfplacev1_episode_success,Traj_Infos/shelfplacev1_episode_success_traj_sum,Traj_Infos/shelfplacev1_is_live,Traj_Infos/shelfplacev1_is_live_traj_sum,Traj_Infos/sweepintov1_episode_success,Traj_Infos/sweepintov1_episode_success_traj_sum,Traj_Infos/sweepintov1_is_live,Traj_Infos/sweepintov1_is_live_traj_sum,Traj_Infos/leverpullv1_episode_success,Traj_Infos/leverpullv1_episode_success_traj_sum,Traj_Infos/leverpullv1_is_live,Traj_Infos/leverpullv1_is_live_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
89432,380,53.23225522041321,0,0,84.87891054153442,0,0,0.0,0.0,nan,nan,nan,1.0,235.34736842105264,702.140138785345,216.8684210526316,352.0202841686328,0.0,0.0,1.0,232.17857142857142,0.0,0.0,1.0,234.4375,0.0,0.0,1.0,241.78571428571428,0.0,0.0,1.0,232.125,0.0,0.0,1.0,234.10714285714286,0.0,0.0,1.0,233.625,0.0,0.0,1.0,233.875,0.0,0.0,1.0,246.5,0.0,0.0,1.0,234.35,0.0,0.0,1.0,232.875,0.0,0.0,1.0,243.5,0.0,0.0,1.0,235.54166666666666,0.0,0.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89409,380,103.96880888938904,13,554,2689.187301158905,5389312,1000,3.040091202736082,3.040091202736082,2069.3831880342036,2110.4994666766106,0.38397910309037653,0.10060574683150487,235.28684210526316,9232.65552431245,225.0,3323.175440763095,0.03571428571428571,2.7142857142857126,1.0,232.53571428571428,0.0,0.0,1.0,234.9375,0.0,0.0,1.0,241.82142857142858,0.0,0.0,1.0,231.95833333333334,0.0,0.0,1.0,234.05357142857142,0.0,0.0,1.0,234.45833333333334,0.0,0.0,1.0,233.33333333333334,0.0,0.0,1.0,244.9375,0.0,0.0,1.0,233.55,0.0,0.0,1.0,233.025,0.0,0.0,1.0,243.125,0.0,0.0,1.0,235.45833333333334,0.0,0.0,1.0,234.0,0.002631578947368421,0.1999999999999999,0.00390625,0.29687499999999983,0.0,0.0,0.0,0.0,0.0,0.0,4898.395195915222,27525.57384605663,217.05699920654297,54.8675651550293,479075.28125,nan,nan,nan,nan,nan,5.75935,98.21433,-0.053819597,-171.87115,12337.336,15.697093,103.526474,-0.40773642,-44.220722,12337.386,1.1145548603534698,0.06869375966846912,1.1148675680160522,1.0,1.2342665195465088,36.561513927459714,1.0943811174110847,36.536075592041016,32.07246780395508,38.61019515991211,4.417596761226654,0.12382200477052145,4.40865683555603,3.854341983795166,5.001132965087891,4857.409106842041,27525.298451248775,175.82794189453125,16.517475128173828,479032.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9415846980214119,0.034354106232127354,0.9455415308475494,0.8747410774230957,1.0,0.007061885104048997,0.00025765574568779116,0.0070915622636675835,0.006560557056218386,0.007500000298023224,1.0872612609863281,0.04661890251967382,1.085723638534546,0.9998002648353577,1.1756561994552612,-0.0007805053739293726,0.0005855196090579079,-0.0006471219239756465,-0.00591823598369956,8.113413969113026e-06,0.0034848572007695113,0.004252895285627732,0.0028484001522883773,1.4163969353830907e-05,0.06719809770584106,0.0007905053616675559,0.000585519598470805,0.0006571219419129193,1.886587369881454e-06,0.005928236525505781,-0.050109273683978245,0.007832233546953641,-0.05067191272974014,-0.06991368532180786,0.013864412903785706,0.712262711763382,0.005464981265411086,0.7125557959079742,0.6952382326126099,0.736545741558075
89396,380,157.98460006713867,25,1059,5068.616530656815,10301952,2200,4.002084418968213,3.4988320660006957,2064.62959229791,2112.5877743051187,0.5043226270920508,0.12905583645533925,235.25263157894736,4339.891826446991,222.42631578947368,1879.2310538646232,0.0,0.0,1.0,232.46428571428572,0.0,0.0,1.0,234.9375,0.0,0.0,1.0,241.25,0.0,0.0,1.0,232.02083333333334,0.0,0.0,1.0,234.125,0.0,0.0,1.0,234.66666666666666,0.0,0.0,1.0,233.625,0.0,0.0,1.0,244.25,0.0,0.0,1.0,234.05,0.0,0.0,1.0,233.1,0.0,0.0,1.0,242.875,0.0,0.0,1.0,235.04166666666666,0.0,0.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45249989827474,18.38711778845398,46.91582489013672,10.17027473449707,141.85427856445312,nan,nan,nan,nan,nan,0.010817978,5.2687683,-0.0050551593,-76.60045,149.94493,3.4802833,12.992524,-0.32318598,-0.41450894,235.35915,1.3846875882148744,0.08626003262314999,1.3850598335266113,1.2345123291015625,1.5305275917053223,27.47170620083809,7.9774204611966795,31.591630935668945,2.6332013607025146,36.273712158203125,4.942655945221583,0.4750999742937893,4.842849493026733,3.509350299835205,7.8270649909973145,15.031644771198431,12.478195964960468,10.805702686309814,1.900872826576233,101.00568389892578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8639509805043538,0.007414426628495592,0.8645983040332794,0.8496492505073547,0.877751350402832,0.006479632164894914,5.5608217153619034e-05,0.006484486628323793,0.006372369360178709,0.006583134178072214,1.3326295586427053,0.09335116638527587,1.3366133570671082,1.175856113433838,1.4818663597106934,-0.0022215351819856247,0.001355745883142823,-0.001961457426659763,-0.008496914990246296,-0.000249083066591993,0.007552706909482367,0.004240796262966249,0.006689610658213496,0.0010266678873449564,0.04253746569156647,0.0022315351249077744,0.001355745844186793,0.0019714575028046966,0.00025908308452926576,0.008506914600729942,-0.0399826076029179,0.010475846796226923,-0.039492031559348106,-0.07174697518348694,-0.004652656614780426,0.728907109896342,0.010042420606544354,0.728919118642807,0.7045912742614746,0.7648931741714478
