Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
0,0,519.1590604782104,0.03309941291809082,0,519.1921598911285,640,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,1023.23996758461,20088.613296031952,61,21111.853263616562,39680,160,124,1.975251591283602,0.006172661222761256,2.0,2.0,7268.495657182509,24987.29814777822,911.9005737304688,25.786678314208984,200559.5,nan,nan,nan,nan,nan,9.038661,123.41416,-5.258025,-32.446697,3899.3325,10.04139,123.36293,-4.3146544,-31.268805,3899.2783,1.0272669801788945,0.01513542753214228,1.027118444442749,1.0,1.0519952774047852,24.136535726247295,17.997337796663633,36.50827217102051,-1.7552238702774048,38.40056228637695,4.335093963530756,0.4166117768350992,4.298166990280151,3.6001973152160645,6.639908790588379,7240.016752935225,24983.35360575472,870.6182556152344,19.642166137695312,200517.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.96972554393353,0.017453710395694336,0.9696742296218872,0.940402626991272,1.0,0.007272941511004201,0.00013090286505184625,0.007272557355463505,0.007053018547594547,0.007499999366700649,1.0194675499393093,0.012765438010783574,1.0205153226852417,0.9994955062866211,1.0431013107299805,-0.00010095702790678271,0.00014935251179576183,-4.08648465963779e-05,-0.000658653792925179,9.415470231033396e-06,0.000916869126933028,0.0015916639428447685,0.00027930022042710334,3.5119840049446793e-06,0.009086313657462597,0.00011095702852194043,0.00014935251216477885,5.086484452476725e-05,5.845313353347592e-07,0.0006686538108624518,0.032058287603450156,0.11542064006135343,0.024081059731543064,-0.09130827337503433,0.23642410337924957,0.7205740102837163,0.04357148949901128,0.7192651927471161,0.6616986989974976,0.8015121221542358
0,0,1538.330472946167,40282.865956783295,123,41821.19642972946,79360,334,248,1.9649154968294664,0.006140360927592083,2.0,2.0,538.8729161293276,917.6002558963435,190.7764434814453,15.808382987976074,5476.0439453125,nan,nan,nan,nan,nan,0.5982315,35.78657,-3.4017057,-24.09871,646.53235,-2.9693549,36.40013,-7.253296,-28.545828,650.1047,1.0801040943591826,0.017101656269000155,1.0783341526985168,1.0523947477340698,1.1118054389953613,22.775034894986497,16.808125052370944,35.751609802246094,-1.1524683237075806,38.131988525390625,4.30036848783493,0.40326796666828685,4.2599709033966064,3.2997875213623047,5.565736770629883,511.7902713283416,909.5545499292748,150.99878692626953,12.269156455993652,5434.208984375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9643154052957412,0.017137177183675162,0.9749050736427307,0.9365456104278564,0.9846474528312683,0.0072323651683907355,0.0001285286580329468,0.007311787689104676,0.007024092599749565,0.007384855765849352,1.1051565197206312,0.03167379977474916,1.1166751980781555,1.044027328491211,1.1528407335281372,-0.010853432002770733,0.016155516774767065,-0.002702377736568451,-0.07734768092632294,-1.611158950254321e-05,0.02919398930102503,0.03500207749039177,0.015654281713068485,5.355778193916194e-05,0.18366703391075134,0.010863432127280248,0.016155517463125702,0.002712377579882741,2.6111585611943156e-05,0.0773576870560646,-0.11676376818227695,0.0809617580921492,-0.08879227191209793,-0.3080068528652191,-0.00011184446339029819,0.7385967080631564,0.04905336206293587,0.7271243333816528,0.6639777421951294,0.8421931862831116
0,0,2047.7057085037231,60438.59280705452,185,62486.29851555824,119040,496,372,1.9686712513404618,0.006152097660438944,2.0,2.0,289.14923106470417,465.73597925626024,85.02394104003906,8.629334449768066,2655.61767578125,nan,nan,nan,nan,nan,1.6516209,25.993988,-1.3127303,-43.56492,468.01575,-7.613415,29.974005,-15.220374,-26.992788,479.77103,1.1458213819611458,0.0192341422014081,1.1464850902557373,1.1123695373535156,1.1787422895431519,24.112597940429563,14.141401745834967,34.717695236206055,-0.5306231379508972,37.93642807006836,4.212983485191099,0.8335633390667202,4.19536566734314,2.5935773849487305,7.806499481201172,260.81610574260833,458.7848891343233,47.04846382141113,3.5519819259643555,2614.2470703125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0044382228966682,0.014475325885612273,0.9974404871463776,0.9853202700614929,1.034834861755371,0.007533286112330614,0.00010856459162845087,0.007480802945792675,0.007389902137219906,0.00776126142591238,1.2067322596426933,0.02857650498357174,1.2076840996742249,1.1539934873580933,1.2532296180725098,-0.037324152630096634,0.03174370072965433,-0.028923431411385536,-0.15948733687400818,-0.000646599568426609,0.035079169045803285,0.04708326370714311,0.018694658763706684,0.0006511921528726816,0.24621032178401947,0.03733415330193126,0.031743702302818984,0.028933429159224033,0.0006565995863638818,0.15949733555316925,-0.1314696967000923,0.0423024012564205,-0.117170549929142,-0.2226666808128357,-0.07290606200695038,0.8911614442063917,0.07166322164142673,0.861764669418335,0.7354981899261475,1.0438812971115112
