Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,lossAverage,lossStd,lossMedian,lossMin,lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
0,0,1.2050864696502686,0.06648874282836914,0,1.2715752124786377,100,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,2.1089229583740234,0.7933118343353271,0,2.9022347927093506,100,0,2,nan,nan,2.0,2.0,583010.71875,57130.59375,583010.71875,525880.125,640141.3125,4.06845235824585,0.005522727966308594,4.06845235824585,4.062929630279541,4.073975086212158,39.09366416931152,4.38690185546875e-05,39.09366416931152,39.09362030029297,39.09370803833008,nan,nan,nan,nan,nan,582967.59375,57130.59375,582967.59375,525837.0,640098.1875,0.0074996245093643665,3.7439167499542236e-07,0.0074996245093643665,0.007499250117689371,0.007499998901039362,7.5663067491404945e-06,1.92861966752389e-06,7.5663067491404945e-06,5.637687081616605e-06,9.494926416664384e-06,8.98838993634854e-06,6.120360694694682e-06,8.98838993634854e-06,2.8680292416538578e-06,1.5108750631043222e-05,2.4336925719126157e-06,1.9286200938495313e-06,2.4336925719126157e-06,5.050724780630844e-07,4.362312665762147e-06,437.64563,987.1178,-1.7721453,-6.8213253,3668.7634,437.55472,987.11395,-1.8628008,-6.8922887,3668.6758,nan,nan,nan,nan,nan,1.0000500082969666,5.0008296966552734e-05,1.0000500082969666,1.0,1.000100016593933,0.9999499917030334,5.0008296966552734e-05,0.9999499917030334,0.9998999834060669,1.0,0.9999500513076782,4.9948692321777344e-05,0.9999500513076782,0.9999001026153564,1.0,-0.042058030143380165,0.0005126353353261948,-0.042058030143380165,-0.04257066547870636,-0.04154539480805397,0.6778221428394318,0.00013723969459533691,0.6778221428394318,0.6776849031448364,0.6779593825340271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,3.0133442878723145,1.4368047714233398,1,4.450149059295654,200,0,4,155.40186105620404,3.1080372211240808,2.0,2.0,2588162.9375,520514.0625,2588162.9375,2067648.875,3108677.0,3.8757824897766113,0.0027112960815429688,3.8757824897766113,3.8730711936950684,3.8784937858581543,39.093482971191406,4.57763671875e-05,39.093482971191406,39.09343719482422,39.093528747558594,nan,nan,nan,nan,nan,2588119.9375,520514.0625,2588119.9375,2067605.875,3108634.0,0.007498124381527305,3.7462450563907623e-07,0.007498124381527305,0.007497749757021666,0.007498499006032944,8.287400987683213e-06,1.2568482361530187e-06,8.287400987683213e-06,7.030552751530195e-06,9.544249223836232e-06,1.0155298355130071e-05,7.289272048183193e-06,1.0155298355130071e-05,2.8660263069468783e-06,1.7444570403313264e-05,1.7125981202070761e-06,1.2568481935204545e-06,1.7125981202070761e-06,4.557499266866216e-07,2.9694463137275307e-06,950.96735,2066.8577,-1.5474144,-5.9184265,7691.598,950.7639,2066.857,-1.7520943,-6.096059,7691.414,nan,nan,nan,nan,nan,1.0002500414848328,5.0008296966552734e-05,1.0002500414848328,1.0002000331878662,1.0003000497817993,0.9997499585151672,5.0008296966552734e-05,0.9997499585151672,0.9996999502182007,0.9997999668121338,0.9997558295726776,4.8786401748657227e-05,0.9997558295726776,0.999707043170929,0.9998046159744263,-0.03935547545552254,0.0004954338073730469,-0.03935547545552254,-0.039850909262895584,-0.03886004164814949,0.6766286492347717,0.00015151500701904297,0.6766286492347717,0.6764771342277527,0.6767801642417908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,3.917720079421997,2.086333751678467,2,6.004053831100464,300,0,6,153.9577186544028,3.0791543730880564,2.0,2.0,5935413.375,1792241.125,5935413.375,4143172.25,7727654.5,4.219007253646851,0.00033545494079589844,4.219007253646851,4.218671798706055,4.2193427085876465,39.09330177307129,4.38690185546875e-05,39.09330177307129,39.093257904052734,39.093345642089844,nan,nan,nan,nan,nan,5935370.25,1792241.25,5935370.25,4143129.0,7727611.5,0.007496623555198312,3.7462450563907623e-07,0.007496623555198312,0.007496248930692673,0.007496998179703951,8.620365406386554e-06,9.21375431062188e-07,8.620365406386554e-06,7.698989975324366e-06,9.541740837448742e-06,8.795127200755815e-06,6.035916499058658e-06,8.795127200755815e-06,2.7592107016971568e-06,1.4831043699814472e-05,1.3796345967875823e-06,9.213749478931277e-07,1.3796345967875823e-06,4.582596488944546e-07,2.30100954468071e-06,1247.1821,3211.7407,-0.70476794,-3.3688993,14979.842,1246.8844,3211.741,-0.9982234,-3.6530442,14979.555,nan,nan,nan,nan,nan,1.000450074672699,5.0008296966552734e-05,1.000450074672699,1.0004000663757324,1.0005000829696655,0.999549925327301,5.0008296966552734e-05,0.999549925327301,0.9994999170303345,0.9995999336242676,0.9995605945587158,4.9233436584472656e-05,0.9995605945587158,0.9995113611221313,0.9996098279953003,-0.036736924201250076,0.0004782378673553467,-0.036736924201250076,-0.03721516206860542,-0.03625868633389473,0.6759261786937714,9.40859317779541e-05,0.6759261786937714,0.6758320927619934,0.6760202646255493,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,4.821959495544434,2.753305673599243,3,7.575265169143677,400,0,8,149.9313490019421,2.998626980038842,2.0,2.0,29741.9140625,657.76171875,29741.9140625,29084.15234375,30399.67578125,3.373017907142639,0.0014556646347045898,3.373017907142639,3.3715622425079346,3.3744735717773438,39.09312057495117,4.57763671875e-05,39.09312057495117,39.093074798583984,39.09316635131836,nan,nan,nan,nan,nan,29699.439453125,657.759765625,29699.439453125,29041.6796875,30357.19921875,0.007495123893022537,3.757886588573456e-07,0.007495123893022537,0.00749474810436368,0.007495499681681395,8.839441306918161e-06,6.348250281007495e-07,8.839441306918161e-06,8.204616278817412e-06,9.47426633501891e-06,8.139304100041045e-06,4.666697805078002e-06,8.139304100041045e-06,3.472606294963043e-06,1.2806001905119047e-05,1.1605592362684547e-06,6.348251417875872e-07,1.1605592362684547e-06,5.257340944808675e-07,1.795384378056042e-06,99.404434,222.52559,-0.68055916,-2.8919973,825.13416,99.09245,222.52469,-0.99233824,-3.203258,824.8186,nan,nan,nan,nan,nan,1.0006501078605652,5.0008296966552734e-05,1.0006501078605652,1.0006000995635986,1.0007001161575317,0.9993498921394348,5.0008296966552734e-05,0.9993498921394348,0.9992998838424683,0.9993999004364014,0.9993634819984436,4.9591064453125e-05,0.9993634819984436,0.9993138909339905,0.9994130730628967,-0.038824332877993584,0.0004889275878667831,-0.038824332877993584,-0.03931326046586037,-0.0383354052901268,0.6754797101020813,0.0001614689826965332,0.6754797101020813,0.6753182411193848,0.6756411790847778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,5.726842641830444,3.4096076488494873,4,9.136450290679932,500,0,10,152.3688847071816,3.047377694143632,2.0,2.0,88592.48046875,3400.78515625,88592.48046875,85191.6953125,91993.265625,4.406246662139893,0.00043582916259765625,4.406246662139893,4.405810832977295,4.40668249130249,39.09294128417969,4.57763671875e-05,39.09294128417969,39.0928955078125,39.092987060546875,nan,nan,nan,nan,nan,88548.97265625,3400.78515625,88548.97265625,85148.1875,91949.7578125,0.007493624230846763,3.755558282136917e-07,0.007493624230846763,0.007493248675018549,0.007493999786674976,9.172349564323667e-06,4.230332706356421e-07,9.172349564323667e-06,8.749316293688025e-06,9.59538283495931e-06,8.123919656100043e-06,5.504650175680581e-06,8.123919656100043e-06,2.6192694804194616e-06,1.3628569831780624e-05,8.276505241155974e-07,4.230336116961553e-07,8.276505241155974e-07,4.046169124194421e-07,1.2506841358117526e-06,169.0115,385.3999,-0.6280698,-3.3798897,1449.4928,168.69551,385.39984,-0.9424579,-3.6943736,1449.1777,nan,nan,nan,nan,nan,1.0008501410484314,5.0008296966552734e-05,1.0008501410484314,1.0008001327514648,1.000900149345398,0.9991498589515686,5.0008296966552734e-05,0.9991498589515686,0.999099850654602,0.9991998672485352,0.9991648197174072,4.9948692321777344e-05,0.9991648197174072,0.9991148710250854,0.999214768409729,-0.036123497411608696,0.0006536487489938736,-0.036123497411608696,-0.03677714616060257,-0.03546984866261482,0.6743641495704651,0.00010091066360473633,0.6743641495704651,0.6742632389068604,0.6744650602340698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
