Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/reachv1_is_live,Traj_Infos/reachv1_is_live_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pushv1_is_live,Traj_Infos/pushv1_is_live_traj_sum,Traj_Infos/pickplacev1_episode_success,Traj_Infos/pickplacev1_episode_success_traj_sum,Traj_Infos/pickplacev1_is_live,Traj_Infos/pickplacev1_is_live_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/dooropenv1_is_live,Traj_Infos/dooropenv1_is_live_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/drawerclosev1_is_live,Traj_Infos/drawerclosev1_is_live_traj_sum,Traj_Infos/buttonpresstopdownv1_episode_success,Traj_Infos/buttonpresstopdownv1_episode_success_traj_sum,Traj_Infos/buttonpresstopdownv1_is_live,Traj_Infos/buttonpresstopdownv1_is_live_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/windowopenv1_is_live,Traj_Infos/windowopenv1_is_live_traj_sum,Traj_Infos/basketballv1_episode_success,Traj_Infos/basketballv1_episode_success_traj_sum,Traj_Infos/basketballv1_is_live,Traj_Infos/basketballv1_is_live_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/draweropenv1_is_live,Traj_Infos/draweropenv1_is_live_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/doorclosev1_is_live,Traj_Infos/doorclosev1_is_live_traj_sum,Traj_Infos/shelfplacev1_episode_success,Traj_Infos/shelfplacev1_episode_success_traj_sum,Traj_Infos/shelfplacev1_is_live,Traj_Infos/shelfplacev1_is_live_traj_sum,Traj_Infos/sweepintov1_episode_success,Traj_Infos/sweepintov1_episode_success_traj_sum,Traj_Infos/sweepintov1_is_live,Traj_Infos/sweepintov1_is_live_traj_sum,Traj_Infos/leverpullv1_episode_success,Traj_Infos/leverpullv1_episode_success_traj_sum,Traj_Infos/leverpullv1_is_live,Traj_Infos/leverpullv1_is_live_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
75337,320,44.51141095161438,0.055724382400512695,0,44.56713533401489,64000,0,0,nan,nan,0.0,0.0,235.428125,472.97916649062535,223.953125,206.3204958443911,0.0,0.0,1.0,232.75,0.0,0.0,1.0,234.9,0.0,0.0,1.0,241.25,0.0,0.0,1.0,232.0625,0.0,0.0,1.0,234.25,0.0,0.0,1.0,234.175,0.0,0.0,1.0,234.02777777777777,0.0,0.0,1.0,245.9,0.0,0.0,1.0,232.9375,0.0,0.0,1.0,233.09375,0.0,0.0,1.0,243.375,0.0,0.0,1.0,235.5,0.0,0.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75342,320,90.73664402961731,1462.896765947342,77,1553.6334099769592,4992000,20774,156,3412.5375609229413,0.10664179877884192,2.0,2.0,235.44375,13238.174633546849,225.0,4422.747508899634,0.0,0.0,1.0,233.0,0.0,0.0,1.0,234.65,0.0,0.0,1.0,241.875,0.0,0.0,1.0,231.96875,0.0,0.0,1.0,235.08333333333334,0.0,0.0,1.0,234.075,0.0,0.0,1.0,234.16666666666666,0.0,0.0,1.0,244.75,0.0,0.0,1.0,233.5625,0.0,0.0,1.0,233.28125,0.0,0.0,1.0,243.0,0.0,0.0,1.0,235.60714285714286,0.0,0.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93419.28173828125,187406.57825817805,16039.400390625,2887.423095703125,1348623.625,nan,nan,nan,nan,nan,73.50874,415.6006,-2.5439014,-60.625324,34633.035,93.0109,413.53827,9.957409,-38.883057,34633.066,1.0386218558519313,0.02284156666308405,1.0381696224212646,1.0,1.078844666481018,38.60552704639924,0.17533952849301576,38.63650131225586,38.03133010864258,38.85037612915039,4.1200513900854645,0.07574685434263502,4.091235160827637,4.024336814880371,4.321770191192627,93376.55051363431,187406.4735466167,15996.6259765625,2845.2744140625,1348580.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9614180880479324,0.022231425450530366,0.9611793756484985,0.9235550165176392,1.0,0.0072106354249020415,0.0001667357305627302,0.007208844181150198,0.006926662288606167,0.007499999366700649,1.018532687654862,0.014810952968602638,1.015634298324585,0.9994955062866211,1.0481221675872803,-4.8583183553246155e-05,8.552726873466818e-05,4.33734453508805e-06,-0.0003666658012662083,9.981908078771085e-06,0.00045401238037142886,0.0008187576712168834,3.066972658416489e-05,8.100803228217046e-08,0.0049778008833527565,5.8583184291786473e-05,8.552727050588722e-05,5.662655439664377e-06,1.8091936837549838e-08,0.0003766657900996506,0.0378138420677808,0.039428936219638624,0.04037640430033207,-0.0761912390589714,0.09633395075798035,0.6817557479326541,0.012165238461380293,0.6777036488056183,0.6619609594345093,0.7106326818466187
75261,320,137.00800800323486,2941.6239669322968,155,3078.6319749355316,9984000,42101,312,3375.8762242791736,0.10549613200872418,2.0,2.0,235.190625,17039.06693798008,225.0,5515.661817332812,0.0,0.0,1.0,232.25,0.0,0.0,1.0,234.45,0.0,0.0,1.0,241.0625,0.0,0.0,1.0,231.75,0.0,0.0,1.0,234.16666666666666,0.11666666666666665,3.8666666666666627,1.0,233.425,0.0,0.0,1.0,234.0,0.0,0.0,1.0,244.45,0.0,0.0,1.0,234.0625,0.0,0.0,1.0,232.9375,0.0,0.0,1.0,243.0,0.0,0.0,1.0,235.64285714285714,0.0,0.0,1.0,234.0,0.014583333333333332,0.48333333333333284,0.02536231884057971,0.8405797101449267,0.0,0.0,0.0,0.0,0.0,0.0,1552.2140072553586,683.0362090804706,1383.3125610351562,556.6311645507812,3179.7353515625,nan,nan,nan,nan,nan,1.2808985,53.457375,-9.394096,-60.614998,1041.701,41.701973,54.23615,29.60869,-0.9419661,1087.127,1.1224815478691688,0.025207227656330097,1.122319221496582,1.0793797969818115,1.1663124561309814,38.117836609864845,0.30769856558586756,38.16496276855469,37.388797760009766,38.61247253417969,4.091206009571369,0.12479127285966005,4.094753742218018,3.895289897918701,4.293646812438965,1509.9983238807092,682.7437089272363,1341.14990234375,515.0755615234375,3136.986083984375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8837807866243216,0.022723356273612272,0.8834657371044159,0.8449848294258118,0.9230654239654541,0.006628355709835887,0.0001704251201838469,0.0066259922459721565,0.006337387021631002,0.006922990083694458,1.0725533007047114,0.014680169051047,1.0706343054771423,1.048505425453186,1.099143147468567,-7.716562312728351e-05,0.00011744758378870029,-2.49213180723018e-05,-0.0005402721581049263,9.979165042750537e-06,0.0003774476679558311,0.0005567311309131956,0.00015531009557889774,1.1174297753768769e-07,0.0028435259591788054,8.716562660336053e-05,0.00011744759072785678,3.4921318729175255e-05,2.0835106084859945e-08,0.0005502721760421991,0.1181367317166848,0.015633121512959706,0.11964425072073936,0.07960165292024612,0.15009209513664246,0.6777025793607419,0.02397380417878379,0.6781268417835236,0.6366708874702454,0.7165454030036926
75274,320,185.7186450958252,4413.474909543991,233,4599.193554639816,14976000,63313,468,3391.647792229594,0.10598899350717482,2.0,2.0,235.23125,10002.019454395282,225.0,4428.195893935718,0.0,0.0,1.0,232.125,0.0,0.0,1.0,235.35,0.0,0.0,1.0,241.125,0.0,0.0,1.0,232.09375,0.0,0.0,1.0,233.83333333333334,0.11666666666666665,15.308333333333348,1.0,232.875,0.0,0.0,1.0,233.88888888888889,0.0,0.0,1.0,244.8,0.0,0.0,1.0,233.9375,0.0,0.0,1.0,232.875,0.0,0.0,1.0,243.75,0.0,0.0,1.0,235.60714285714286,0.0,0.0,1.0,234.0,0.014583333333333332,1.9135416666666685,0.02536231884057971,3.327898550724641,0.0,0.0,0.0,0.0,0.0,0.0,403.8280516404372,154.0739749633178,351.9116668701172,203.49278259277344,938.1231689453125,nan,nan,nan,nan,nan,1.7812849,26.10484,-0.84413475,-74.480965,571.3736,17.154428,32.236687,6.26292,-0.84919256,605.2932,1.2145673028933697,0.028528217660353045,1.2138539552688599,1.1669059991836548,1.2642512321472168,37.35413455963135,0.4346070856818256,37.340614318847656,36.09956741333008,38.22863006591797,4.255647757114509,0.3063740800066325,4.248098850250244,3.7208924293518066,4.924314975738525,362.2121274899214,153.93215792332776,309.7587127685547,162.02944946289062,895.9850463867188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8171184437397199,0.013514120783262421,0.8158294260501862,0.7944038510322571,0.8444884419441223,0.006128388265959728,0.00010135588859750326,0.006118720630183816,0.005958028137683868,0.00633366359397769,1.1829882615651839,0.05552851422649717,1.1872771978378296,1.099499225616455,1.2738748788833618,-0.0012690815370567576,0.0011224085323964098,-0.0009360049734823406,-0.00622926838696003,-4.126639396417886e-05,0.0035050122538590445,0.0021311118621467314,0.003212142619304359,0.0002667767694219947,0.011013448238372803,0.0012790815283854802,0.0011224085366467122,0.0009460048459004611,5.126639371155761e-05,0.006239268928766251,0.021379898844036058,0.06019483536357197,0.04854803718626499,-0.09088320285081863,0.11236689239740372,0.7267888069916995,0.06284566175104579,0.7175111174583435,0.6399084329605103,0.8604347109794617
75190,320,235.66256403923035,6313.169655561447,311,6548.8322196006775,19968000,84504,624,2627.790601866585,0.08211845630833078,2.0,2.0,234.96875,24049.234698617085,224.790625,8468.847524322282,0.20833333333333331,12.708333333333325,1.0,231.5,0.0,0.0,1.0,234.1,0.0,0.0,1.0,241.375,0.0,0.0,1.0,232.0,0.0,0.0,1.0,234.75,0.38333333333333336,29.816666666666652,1.0,231.9,0.0,0.0,1.0,234.11111111111111,0.0,0.0,1.0,244.6,0.0625,1.6249999999999987,1.0,233.875,0.0,0.0,1.0,233.09375,0.0,0.0,1.0,242.0625,0.0,0.0,1.0,235.25,0.0,0.0,1.0,234.0,0.05625,4.126041666666665,0.09239130434782608,7.03442028985507,0.007352941176470588,0.19117647058823514,0.0,0.0,0.0,0.0,225.34664965898563,46.112933012757345,222.6714096069336,134.0458526611328,328.857177734375,nan,nan,nan,nan,nan,0.6887028,18.421715,-0.7510998,-79.860634,361.0928,12.444493,27.628553,1.6469593,-0.7522618,375.55383,1.3156282756573114,0.029355906133209552,1.3161581158638,1.2648793458938599,1.3650296926498413,36.53605578495906,0.4578729531107784,36.569562911987305,35.43800354003906,37.292198181152344,4.814947122182602,0.29941526430257825,4.741272449493408,4.3603973388671875,5.619041442871094,183.98959590227176,45.84233512214661,181.0886459350586,93.3304214477539,287.1147766113281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8049038881674792,0.028208532692828303,0.7921938300132751,0.7760772109031677,0.8664605617523193,0.006036778807472915,0.00021156398112402795,0.005941454088315368,0.00582057936117053,0.006498455069959164,1.387117095482655,0.061908015456098954,1.387578308582306,1.2753037214279175,1.493688941001892,-0.024936033611690316,0.02696915840430618,-0.013117148540914059,-0.11974816769361496,-0.00047663075383752584,0.02300649269921287,0.027812907018748313,0.008865373209118843,0.0008484332356601954,0.126002699136734,0.02494603427382968,0.026969159858806997,0.013127148151397705,0.0004866307426709682,0.11975817382335663,0.08177791178324977,0.09342478778531942,0.0859721191227436,-0.06978758424520493,0.20904338359832764,0.8659329337951465,0.033715730375529225,0.8677175343036652,0.797091543674469,0.9581816792488098
75255,320,285.035147190094,8746.851991415024,389,9031.887138605118,24960000,105609,780,2051.2126527183477,0.06410039539744837,2.0,2.0,235.171875,29292.174115937065,221.575,9911.761174855277,0.0,0.0,1.0,232.375,0.0,0.0,1.0,235.0,0.0,0.0,1.0,241.5625,0.0,0.0,1.0,232.0625,0.0,0.0,1.0,234.41666666666666,0.3333333333333333,22.95,1.0,232.05,0.0,0.0,1.0,233.97222222222223,0.0,0.0,1.0,246.0,0.0,0.0,1.0,234.0625,0.0,0.0,1.0,232.96875,0.0,0.0,1.0,242.625,0.0,0.0,1.0,235.32142857142858,0.0,0.0,1.0,234.0,0.041666666666666664,2.86875,0.07246376811594202,4.989130434782608,0.0,0.0,0.0,0.0,0.0,0.0,121.69778686914688,33.23419343440289,112.85179138183594,66.5702133178711,216.85305786132812,nan,nan,nan,nan,nan,0.21016529,12.149182,-0.60427916,-64.296005,280.73764,7.885693,18.68691,1.1009848,-0.6517637,283.5292,1.4178270254379663,0.03143265676833364,1.4161863923072815,1.3656675815582275,1.4727020263671875,35.353166971451195,0.7688310255408692,35.35396957397461,33.28743362426758,36.73038101196289,5.847611236266601,0.9280625160555338,5.636897087097168,3.3237802982330322,8.963814735412598,80.48994660988832,32.770060860420045,70.69308853149414,29.559524536132812,174.7139434814453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9393634009055603,0.041986129037138366,0.9483478367328644,0.8667699098587036,0.9841871857643127,0.007045225685056395,0.0003148958068834089,0.007112608524039388,0.006500773597508669,0.007381404284387827,1.5869339681588686,0.0636210927049071,1.5852383971214294,1.4945001602172852,1.6948798894882202,-0.1675304206691157,0.11900513316149741,-0.13689902424812317,-0.466318815946579,-0.006434464827179909,0.056193448682255946,0.05624962246496065,0.03051264025270939,0.0024791487958282232,0.2826260030269623,0.16754042235418007,0.11900513359944426,0.13690903037786484,0.006444464437663555,0.46632885932922363,0.2529610976672325,0.13597090913742768,0.286024808883667,0.03319616615772247,0.44755545258522034,1.2389336843521168,0.22949430159203033,1.1951088309288025,0.8765501976013184,1.9588340520858765
75287,320,339.64192485809326,11128.365486621857,467,11468.00741147995,29952000,126925,936,2096.1460054907006,0.0655045626715844,2.0,2.0,235.271875,5957.056145633478,225.0,2303.100632579199,0.25,18.99999999999999,1.0,231.375,0.0,0.0,1.0,234.75,0.0,0.0,1.0,241.3125,0.0,0.0,1.0,232.125,0.0,0.0,1.0,234.0,0.0,0.0,1.0,233.675,0.0,0.0,1.0,233.88888888888889,0.0,0.0,1.0,244.95,0.0,0.0,1.0,233.9375,0.05208333333333333,2.3958333333333313,1.0,233.03125,0.0,0.0,1.0,243.1875,0.0,0.0,1.0,235.39285714285714,0.0,0.0,1.0,234.0,0.011458333333333333,0.7145833333333329,0.010869565217391304,0.8260869565217387,0.012254901960784312,0.563725490196078,0.0,0.0,0.0,0.0,76.23476265638303,11.407428196825528,73.56012344360352,59.264991760253906,118.1014404296875,nan,nan,nan,nan,nan,-0.1888349,7.487982,-0.24907564,-46.250168,177.28128,4.690508,12.22691,0.029008629,-0.611363,183.3123,1.5326702396074932,0.03402040516043509,1.532361924648285,1.4733712673187256,1.5908985137939453,33.27592989114615,0.981088072469764,33.31764221191406,30.35903549194336,35.27076721191406,12.162243781945644,3.01067889221735,12.14863109588623,5.02216911315918,24.50033950805664,30.789093133730766,11.809964823926293,27.10243511199951,15.723034858703613,78.06022644042969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9970082224179537,0.00792921788629588,0.9985855519771576,0.9842730760574341,1.0062801837921143,0.007477561388021478,5.946931633716397e-05,0.007489390671253204,0.007382048759609461,0.007547102868556976,1.7941340070504408,0.059530594897505104,1.788072407245636,1.6963049173355103,1.9044053554534912,-0.5677766436949755,0.32752132906945586,-0.4911614656448364,-1.3432761430740356,-0.11552804708480835,0.01864066071366557,0.013827556792623307,0.013655800838023424,0.004816373810172081,0.0683857873082161,0.5677866373115625,0.3275213176891202,0.4911714345216751,0.11553805321455002,1.3432859182357788,0.12322201683687475,0.05215266141048347,0.10695438832044601,0.029198242351412773,0.24075545370578766,2.51505231933716,0.9474331190404947,2.555023670196533,1.0393528938293457,4.863494873046875
75279,320,395.5678379535675,13522.028957605362,545,13917.59679555893,34944000,147986,1092,2085.5061960522353,0.06517206862663236,2.0,2.0,235.246875,1844.398148055817,223.384375,662.2220349771129,0.08333333333333333,6.416666666666677,1.0,232.625,0.0,0.0,1.0,234.55,0.0,0.0,1.0,241.5625,0.0,0.0,1.0,232.03125,0.0,0.0,1.0,233.41666666666666,0.0,0.0,1.0,233.7,0.0,0.0,1.0,234.11111111111111,0.0,0.0,1.0,244.45,0.0,0.0,1.0,234.0625,0.0,0.0,1.0,232.78125,0.0,0.0,1.0,243.1875,0.0,0.0,1.0,235.35714285714286,0.0,0.0,1.0,234.0,0.0020833333333333333,0.16041666666666693,0.003623188405797101,0.2789855072463773,0.0,0.0,0.0,0.0,0.0,0.0,83.02588675572322,13.327610164987936,81.76812362670898,61.80292892456055,172.30221557617188,nan,nan,nan,nan,nan,0.1215292,8.4339485,-0.35505277,-40.03628,159.75835,5.4104166,13.117096,0.51041853,-0.5751655,159.64484,1.6404448938675416,0.027620285828411136,1.6410104632377625,1.591582179069519,1.6875381469726562,33.39200770549285,0.6106517388428091,33.37126350402832,31.985952377319336,34.79896545410156,10.46296294224568,6.824965992892539,9.897698879241943,6.0041704177856445,85.59884643554688,39.163350141965424,9.804394789401396,38.123823165893555,22.182544708251953,77.9909439086914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0062184593616388,0.002166139778605517,1.0062777400016785,1.0012898445129395,1.0090032815933228,0.007546638305752705,1.6246059567319203e-05,0.007547083543613553,0.007509672548621893,0.0075675249099731445,1.9619139830271404,0.02451343587725181,1.9667898416519165,1.905838131904602,1.996290922164917,-0.38304837848035955,0.204796028654533,-0.39657191932201385,-1.1710799932479858,-0.059448543936014175,0.005353712602533424,0.006583221882980008,0.0024286997504532337,0.0005583710153587162,0.031182391569018364,0.38305838351161814,0.20479603053254253,0.3965819329023361,0.059458550065755844,1.171090006828308,0.11564331320233834,0.022434416675612336,0.11408079043030739,0.07173506915569305,0.177455335855484,3.5731266095088077,0.5628061442196982,3.593072533607483,2.777066946029663,5.316679000854492
75255,320,446.0681183338165,15927.077900409698,623,16373.146018743515,39936000,169287,1248,2075.6334356253165,0.06486354486329114,2.0,2.0,235.171875,2913.958638218767,224.015625,1173.064024520526,0.125,9.499999999999995,1.0,231.625,0.0,0.0,1.0,234.45,0.0,0.0,1.0,241.5,0.0,0.0,1.0,231.9375,0.9166666666666666,69.66666666666663,1.0,228.33333333333334,0.0,0.0,1.0,234.25,0.0,0.0,1.0,233.75,0.0,0.0,1.0,246.15,0.0,0.0,1.0,234.125,0.0,0.0,1.0,233.0625,0.0,0.0,1.0,242.8125,0.0,0.0,1.0,235.5,0.0,0.0,1.0,234.0,0.0375,2.8499999999999988,0.06521739130434782,4.956521739130432,0.0,0.0,0.0,0.0,0.0,0.0,73.23898501273914,8.333818497804625,72.94184875488281,56.622833251953125,91.4925765991211,nan,nan,nan,nan,nan,0.04887171,7.606976,-0.4893312,-34.50432,146.32385,4.885261,11.257199,0.71967375,-0.5569352,148.34122,1.7354611494602301,0.027099235431497372,1.7356870770454407,1.688165307044983,1.7818183898925781,32.7529121423379,0.6153782470047049,32.78255081176758,30.372983932495117,34.03731918334961,8.559283421589779,1.6257192097984094,8.626875877380371,5.083090305328369,12.28754997253418,31.919322197253887,7.3764187174362394,31.87039279937744,17.072431564331055,50.128997802734375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9929583554084485,0.004853934963553035,0.9930267333984375,0.9844136238098145,1.0011892318725586,0.007447187514163745,3.640456760681854e-05,0.0074476993177086115,0.007383100222796202,0.007508918642997742,2.022823643990052,0.016021755943299694,2.0222229957580566,1.9965906143188477,2.050374984741211,-0.2529343991325452,0.08679186025538713,-0.26562952995300293,-0.42429643869400024,-0.06622517853975296,0.0010414252196474431,0.00024678237125184597,0.0010743882157839835,0.0005023943958804011,0.00164412846788764,0.2529443977639461,0.08679186033184697,0.2656395435333252,0.06623517721891403,0.4243064522743225,0.09560782562654752,0.01488759738007923,0.09869726374745369,0.06609082221984863,0.12838248908519745,3.52215593900436,0.3004360452320329,3.4677796363830566,3.043919801712036,4.294243812561035
75221,320,495.3228464126587,18305.356155395508,701,18800.679001808167,44928000,190497,1404,2098.9974531091134,0.06559367040965979,2.0,2.0,235.065625,2651.096617411333,224.503125,1221.6170925232595,0.0,0.0,1.0,232.5,0.0,0.0,1.0,234.4,0.0,0.0,1.0,241.25,0.07291666666666666,4.760416666666664,1.0,231.5625,1.0,75.99999999999996,1.0,228.16666666666666,0.0,0.0,1.0,234.225,0.0,0.0,1.0,234.22222222222223,0.0,0.0,1.0,244.25,0.0,0.0,1.0,233.9375,0.0,0.0,1.0,233.03125,0.0,0.0,1.0,242.625,0.0,0.0,1.0,235.75,0.0,0.0,1.0,234.0,0.04479166666666666,3.326041666666665,0.07789855072463768,5.78442028985507,0.0,0.0,0.0,0.0,0.0,0.0,58.266113256796814,7.4516888027220105,58.38186264038086,40.773414611816406,76.2508316040039,nan,nan,nan,nan,nan,0.006579693,6.2906003,-0.46039334,-28.994406,125.74186,3.6575336,8.675778,0.6978458,-0.54570985,128.17436,1.8299249456478999,0.02774143796274464,1.8302177786827087,1.7823950052261353,1.8774296045303345,31.69537813235552,0.7535200802488393,31.78749656677246,29.54108238220215,33.16702651977539,5.177722972172957,1.6492526554868152,4.939425230026245,2.075171947479248,9.068516731262207,21.385676011061058,5.769510533820813,21.704572677612305,8.657105445861816,34.76418685913086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9754040466669278,0.005184458788293428,0.9754419922828674,0.9662376046180725,0.9842981696128845,0.007315530202900752,3.8883396389201336e-05,0.007315814960747957,0.007246782537549734,0.007382236421108246,2.0681225795012255,0.008376277958959304,2.068919539451599,2.0507400035858154,2.0810298919677734,-0.12669708641866842,0.06496566929653931,-0.11486644297838211,-0.3478149175643921,-0.03812427446246147,0.0012356145917482746,0.0005179766310662486,0.0011219045263715088,0.0004805603821296245,0.0034284559078514576,0.1267070899454829,0.06496567223971492,0.11487644538283348,0.03813428431749344,0.34782490134239197,-0.04017880642137383,0.045333705162990554,-0.06003266014158726,-0.08975055068731308,0.06361090391874313,3.066333756997035,0.4344114413862212,3.0624436140060425,2.0447378158569336,3.991846799850464
