Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,lossAverage,lossStd,lossMedian,lossMin,lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
0,0,1.2061572074890137,0.0723564624786377,0,1.2785136699676514,100,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,2.1099588871002197,0.8095457553863525,0,2.9195046424865723,100,0,2,nan,nan,2.0,2.0,16.2344970703125,0.009500503540039062,16.2344970703125,16.22499656677246,16.24399757385254,4.502098083496094,0.004002094268798828,4.502098083496094,4.498095989227295,4.506100177764893,-1.4118768572807312,0.00021284818649291992,-1.4118768572807312,-1.4120897054672241,-1.4116640090942383,nan,nan,nan,nan,nan,13.136767387390137,0.0052852630615234375,13.136767387390137,13.131482124328613,13.14205265045166,0.0074996245093643665,3.7439167499542236e-07,0.0074996245093643665,0.007499250117689371,0.007499998901039362,6.873299525977927e-06,2.403033477094141e-06,6.873299525977927e-06,4.4702660488837864e-06,9.276333003072068e-06,1.8214503143099137e-05,1.4295654182205908e-05,1.8214503143099137e-05,3.918848960893229e-06,3.2510157325305045e-05,3.126699880340311e-06,2.4030329086599522e-06,3.126699880340311e-06,7.23666971680359e-07,5.5297327890002634e-06,-4.069089,3.1170578,-3.4264417,-14.804383,-0.2006192,-4.1509285,3.1165648,-3.491714,-14.872995,-0.25863448,nan,nan,nan,nan,nan,1.0000500082969666,5.0008296966552734e-05,1.0000500082969666,1.0,1.000100016593933,0.9999499917030334,5.0008296966552734e-05,0.9999499917030334,0.9998999834060669,1.0,0.9999500513076782,4.9948692321777344e-05,0.9999500513076782,0.9999001026153564,1.0,-0.004738197661936283,0.0008604624308645725,-0.004738197661936283,-0.005598660092800856,-0.0038777352310717106,0.6906687915325165,0.00022265315055847168,0.6906687915325165,0.690446138381958,0.690891444683075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,3.113996982574463,1.4980528354644775,1,4.61204981803894,200,0,4,145.24178892779577,2.904835778555915,2.0,2.0,21.697047233581543,0.008582115173339844,21.697047233581543,21.688465118408203,21.705629348754883,4.50204610824585,0.0020751953125,4.50204610824585,4.49997091293335,4.50412130355835,-1.5354552268981934,0.0003228187561035156,-1.5354552268981934,-1.5357780456542969,-1.5351324081420898,nan,nan,nan,nan,nan,18.722947120666504,0.006829261779785156,18.722947120666504,18.71611785888672,18.72977638244629,0.007498124381527305,3.7462450563907623e-07,0.007498124381527305,0.007497749757021666,0.007498499006032944,8.462138112008688e-06,9.642096756579122e-07,8.462138112008688e-06,7.497928436350776e-06,9.4263477876666e-06,1.5750454394947155e-05,1.2267532156329253e-05,1.5750454394947155e-05,3.4829222386179026e-06,2.8017986551276408e-05,1.5378620332739956e-06,9.64209732501331e-07,1.5378620332739956e-06,5.736523007726646e-07,2.5020717657753266e-06,-4.938474,3.613497,-4.1043854,-14.246626,-0.25968933,-5.030835,3.6124814,-4.184613,-14.332264,-0.35934913,nan,nan,nan,nan,nan,1.0002501010894775,5.0067901611328125e-05,1.0002501010894775,1.0002000331878662,1.0003001689910889,0.9997499585151672,5.0008296966552734e-05,0.9997499585151672,0.9996999502182007,0.9997999668121338,0.9997596144676208,4.792213439941406e-05,0.9997596144676208,0.9997116923332214,0.9998075366020203,0.00048327818512916565,0.0007720153080299497,0.00048327818512916565,-0.000288737122900784,0.0012552934931591153,0.6918460726737976,0.0002123117446899414,0.6918460726737976,0.6916337609291077,0.6920583844184875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,4.018091201782227,2.176625967025757,2,6.194717168807983,300,0,6,147.3680512075645,2.9473610241512898,2.0,2.0,16.5479097366333,0.007357597351074219,16.5479097366333,16.540552139282227,16.555267333984375,4.556788444519043,0.0016722679138183594,4.556788444519043,4.555116176605225,4.558460712432861,-1.2670797109603882,0.0005013942718505859,-1.2670797109603882,-1.2675811052322388,-1.2665783166885376,nan,nan,nan,nan,nan,13.25069522857666,0.0051822662353515625,13.25069522857666,13.245512962341309,13.255877494812012,0.007496623555198312,3.7462450563907623e-07,0.007496623555198312,0.007496248930692673,0.007496998179703951,8.861005881044548e-06,4.960229489370249e-07,8.861005881044548e-06,8.364982932107523e-06,9.357028829981573e-06,8.869816383594298e-06,6.185228585309233e-06,8.869816383594298e-06,2.6845877982850652e-06,1.505504496890353e-05,1.138993894755913e-06,4.960234889495041e-07,1.138993894755913e-06,6.42970405806409e-07,1.6350173837054172e-06,-4.2009263,2.9755018,-3.7908263,-12.927275,-0.005918093,-4.3058662,2.9755676,-3.9051347,-13.033803,-0.09734557,nan,nan,nan,nan,nan,1.000451147556305,5.048513412475586e-05,1.000451147556305,1.0004006624221802,1.0005016326904297,0.999549925327301,5.0008296966552734e-05,0.999549925327301,0.9994999170303345,0.9995999336242676,0.9995660483837128,4.902482032775879e-05,0.9995660483837128,0.999517023563385,0.9996150732040405,0.001982067187782377,0.0006361576379276812,0.001982067187782377,0.0013459095498546958,0.002618224825710058,0.6914064884185791,0.0002429485321044922,0.6914064884185791,0.6911635398864746,0.6916494369506836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,5.023236274719238,2.889807939529419,3,7.913044214248657,400,0,8,140.21666819331514,2.804333363866303,2.0,2.0,15.157253742218018,0.003942966461181641,15.157253742218018,15.153310775756836,15.1611967086792,4.195444345474243,0.0003082752227783203,4.195444345474243,4.195136070251465,4.1957526206970215,-1.5759974122047424,0.00019663572311401367,-1.5759974122047424,-1.5761940479278564,-1.5758007764816284,nan,nan,nan,nan,nan,12.530302047729492,0.0034379959106445312,12.530302047729492,12.526864051818848,12.533740043640137,0.007495123893022537,3.757886588573456e-07,0.007495123893022537,0.00749474810436368,0.007495499681681395,8.817255547910463e-06,4.7114554035943e-07,8.817255547910463e-06,8.346110007551033e-06,9.288401088269893e-06,7.783062756061554e-06,5.2695750127895735e-06,7.783062756061554e-06,2.5134877432719804e-06,1.3052637768851127e-05,1.1827441142031603e-06,4.7114596668507147e-07,1.1827441142031603e-06,7.115981475180888e-07,1.6538900808882318e-06,-4.268253,2.6158414,-4.079429,-11.470054,-0.26103532,-4.396684,2.6156461,-4.2001505,-11.590073,-0.37915885,nan,nan,nan,nan,nan,1.0006535649299622,5.060434341430664e-05,1.0006535649299622,1.0006029605865479,1.0007041692733765,0.9993498921394348,5.0008296966552734e-05,0.9993498921394348,0.9992998838424683,0.9993999004364014,0.9993688464164734,4.965066909790039e-05,0.9993688464164734,0.9993191957473755,0.9994184970855713,0.005048823310062289,0.0008098918478935957,0.005048823310062289,0.0042389314621686935,0.005858715157955885,0.6928727030754089,0.00018262863159179688,0.6928727030754089,0.6926900744438171,0.6930553317070007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,5.92755126953125,3.5663397312164307,4,9.49389100074768,500,0,10,147.81271365036403,2.9562542730072807,2.0,2.0,9.313288688659668,0.00469207763671875,9.313288688659668,9.30859661102295,9.317980766296387,4.09172511100769,0.0011255741119384766,4.09172511100769,4.090599536895752,4.092850685119629,-0.7544911801815033,0.0004996359348297119,-0.7544911801815033,-0.754990816116333,-0.7539915442466736,nan,nan,nan,nan,nan,5.968550443649292,0.004065752029418945,5.968550443649292,5.964484691619873,5.972616195678711,0.007493623998016119,3.7532299757003784e-07,0.007493623998016119,0.007493248675018549,0.007493999321013689,8.602695288573159e-06,5.330243766366038e-07,8.602695288573159e-06,8.069670911936555e-06,9.135719665209763e-06,6.702398309244018e-06,3.330777985866007e-06,6.702398309244018e-06,3.3716203233780107e-06,1.0033176295110025e-05,1.397304799866106e-06,5.330242629497661e-07,1.397304799866106e-06,8.642805369163398e-07,1.930329062815872e-06,-2.8021755,2.0211172,-2.6464558,-6.8900027,0.112672076,-2.9361372,2.0304854,-2.7934535,-7.0419927,-0.010091922,nan,nan,nan,nan,nan,1.0008540749549866,4.881620407104492e-05,1.0008540749549866,1.0008052587509155,1.0009028911590576,0.9991498589515686,5.0008296966552734e-05,0.9991498589515686,0.999099850654602,0.9991998672485352,0.9991699159145355,4.991888999938965e-05,0.9991699159145355,0.9991199970245361,0.9992198348045349,0.006944878492504358,0.0007182448171079159,0.006944878492504358,0.006226633675396442,0.007663123309612274,0.6925696432590485,0.00015160441398620605,0.6925696432590485,0.6924180388450623,0.6927212476730347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
