Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/reachv1_is_live,Traj_Infos/reachv1_is_live_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pushv1_is_live,Traj_Infos/pushv1_is_live_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/dooropenv1_is_live,Traj_Infos/dooropenv1_is_live_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/drawerclosev1_is_live,Traj_Infos/drawerclosev1_is_live_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/windowopenv1_is_live,Traj_Infos/windowopenv1_is_live_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/draweropenv1_is_live,Traj_Infos/draweropenv1_is_live_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/doorclosev1_is_live,Traj_Infos/doorclosev1_is_live_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
49342,403,48.419312715530396,0,0,157.29036736488342,0,0,0.0,0.0,nan,nan,nan,1.0,122.43672456575682,3521.2843257160694,114.0,2053.5570676288808,0.0,0.0,1.0,121.34883720930233,0.0,0.0,1.0,123.76712328767124,0.0,0.0,1.0,120.8974358974359,0.0,0.0,1.0,122.91666666666667,0.0,0.0,1.0,123.02439024390245,0.0,0.0,1.0,123.25,0.0,0.0,1.0,122.13333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49034,401,97.42170119285583,13,294,5078.754658699036,5362560,1000,3.0552571905955364,3.0552571905955364,1089.6269245400279,1100.5853112685845,0.20319155861007204,0.045497493849564793,122.2793017456359,22269.799590184244,114.0,12609.780676815417,0.20930232558139536,8.16279069767442,1.0,120.32558139534883,0.0,0.0,1.0,123.77027027027027,0.0,0.0,1.0,121.10666666666667,0.0,0.0,1.0,122.9,0.0,0.0,1.0,122.73809523809524,0.0,0.0,1.0,122.85714285714286,0.0,0.0,1.0,121.93548387096774,0.022443890274314215,0.8753117206982545,0.029605263157894735,1.154605263157895,0.0,0.0,0.0,0.0,0.0,0.0,23124.621931480408,289230.4369944674,229.99778747558594,60.06659698486328,8132111.5,nan,nan,nan,nan,nan,13.068005,207.49055,-0.10024391,-104.93079,44542.02,24.189463,208.59715,-0.35008645,-43.778923,44541.934,1.12454443192482,0.07382305893227269,1.1264647841453552,1.0,1.2517774105072021,37.02766696166992,1.1585479395232414,37.01398849487305,33.27595520019531,39.42051315307617,4.186193599462509,0.08926299120706575,4.189936876296997,3.8817577362060547,4.609288215637207,23083.401258102418,289230.26289911417,189.2220687866211,21.464797973632812,8132068.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9271771606206894,0.040400391600520516,0.92534539103508,0.8637821078300476,1.0,0.006953828620258719,0.00030300290885329104,0.006940091028809547,0.0064783659763634205,0.007500000298023224,1.1063492667078971,0.05997721417288357,1.10562264919281,0.9998002052307129,1.2186384201049805,-0.0007939490266307984,0.0005026472434206136,-0.0007049880514387041,-0.004454649053514004,8.50654578243848e-06,0.0041230464023319655,0.002375258858362131,0.0037336566019803286,1.3438970199786127e-05,0.015351943671703339,0.0008039490228101159,0.0005026472375337616,0.0007149880402721465,1.4934547607481363e-06,0.0044646491296589375,0.010015761681475851,0.007849571668315703,0.00974362064152956,-0.01860244758427143,0.04230927303433418,0.6877024710774422,0.00473929456003068,0.6875127851963043,0.6751289963722229,0.7153251767158508
49300,403,126.69010877609253,25,565,9053.539312124252,10305600,2200,3.977471353660905,3.4975935413755628,1243.5994477689258,1252.824647524711,0.3019031481280165,0.06647772809346611,122.33250620347394,19489.70409520743,114.0,11401.37662153798,0.13333333333333333,5.200000000000001,1.0,120.84444444444445,0.0,0.0,1.0,123.5068493150685,0.0,0.0,1.0,121.02631578947368,0.0,0.0,1.0,122.91304347826087,0.0,0.0,1.0,123.21951219512195,0.0,0.0,1.0,123.02631578947368,0.0,0.0,1.0,121.9672131147541,0.01488833746898263,0.5806451612903227,0.019736842105263157,0.7697368421052634,0.0,0.0,0.0,0.0,0.0,0.0,41.226618053913114,19.394036783992473,35.6835994720459,10.574870109558105,96.73575592041016,nan,nan,nan,nan,nan,0.24673301,4.9569206,-0.015577793,-44.180817,90.47564,3.9550636,10.774536,-0.41359013,-0.6635446,131.79753,1.4135696216424307,0.08924614363644175,1.4201202392578125,1.2520344257354736,1.5563385486602783,23.169699545502663,9.110717438302746,22.826523780822754,3.5471880435943604,35.815589904785156,4.6028979547818505,0.49615503231564734,4.548335552215576,3.285207509994507,6.757648944854736,13.446506829659144,11.695184932543409,8.160033226013184,1.2348383665084839,57.030242919921875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999383621911208,0.0867353026184007,1.0205850005149841,0.8569560647010803,1.1018482446670532,0.0074995373511531705,0.0006505147611712871,0.00765438680537045,0.006427169311791658,0.008263862691819668,1.414737920264403,0.1079648194054845,1.4374082684516907,1.2189208269119263,1.557930588722229,-0.004726873169226262,0.0028023719095896,-0.004090928006917238,-0.01744508370757103,-0.00034645688720047474,0.017592670212907252,0.00987669002088069,0.015535257756710052,0.0014170948415994644,0.06874977052211761,0.004736873088210511,0.0028023718607591477,0.004100927850231528,0.00035645687603391707,0.0174550823867321,0.017430008184232973,0.01294946434466495,0.01794147863984108,-0.026841940358281136,0.06690449267625809,0.7122517021497091,0.018313465946927503,0.7105588912963867,0.6800257563591003,0.7647525072097778
49570,405,155.86162757873535,37,834,11330.919178724289,15212160,3400,4.007043631383291,3.6619125752029955,2154.4758834305226,2182.4311811701245,0.5269213176067606,0.11270841126058218,122.39506172839506,14091.951187743707,114.0,7945.101998128132,0.08333333333333331,3.5378787878787885,1.0,121.0,0.0,0.0,1.0,123.875,0.0,0.0,1.0,120.97402597402598,0.0,0.0,1.0,123.04166666666667,0.0,0.0,1.0,122.78048780487805,0.0,0.0,1.0,123.29729729729729,0.0,0.0,1.0,121.88709677419355,0.00905349794238683,0.3843621399176955,0.011982570806100216,0.5087145969498912,0.0,0.0,0.0,0.0,0.0,0.0,15.639297711054484,5.311539504591256,14.668745994567871,6.293389320373535,39.401920318603516,nan,nan,nan,nan,nan,0.16640568,2.21145,-0.0075260997,-23.958342,39.182846,1.7769908,5.365959,-0.41804838,-0.55685097,58.81135,1.6699867868423461,0.06204780636675373,1.6724531650543213,1.5565365552902222,1.7696402072906494,8.106320375700792,4.460965485366567,7.267995119094849,0.8834312558174133,29.552715301513672,5.150585660338402,0.3638517888536782,5.127190113067627,3.8510921001434326,7.460612773895264,2.374077440996965,1.134076126176922,2.1300352811813354,0.5640568137168884,8.24897289276123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.106394040385882,0.006024125251486923,1.1077088713645935,1.0874210596084595,1.1139107942581177,0.008297955154751738,4.518093568545217e-05,0.00830781552940607,0.008155658841133118,0.008354329504072666,1.6284646122654278,0.03826691721301053,1.6316822171211243,1.5580472946166992,1.6853671073913574,-0.0021535379385750277,0.0009898787292362313,-0.0020242653554305434,-0.006828862242400646,-0.00043586554238572717,0.007172609050176106,0.0031725043483225284,0.006373198702931404,0.002587780822068453,0.025404196232557297,0.002163537895588282,0.0009898786918140438,0.0020342651987448335,0.00044586556032299995,0.00683886231854558,0.017845456178929454,0.008576125353327158,0.01785990409553051,-0.017752202227711678,0.04689742624759674,0.7407713661591212,0.007743913224418567,0.740447074174881,0.717623770236969,0.7655918598175049
49292,403,184.9076633453369,49,1104,13616.977947473526,20136960,4600,3.992202729044834,3.742690058479532,2154.2753263051445,2181.9992098546522,0.5249208884759125,0.10986540336754143,122.31265508684864,17309.42899080109,114.0,9962.414453403682,0.043478260869565216,2.826086956521738,1.0,121.1086956521739,0.0,0.0,1.0,123.9041095890411,0.0,0.0,1.0,120.77631578947368,0.0,0.0,1.0,122.62857142857143,0.0,0.0,1.0,123.1,0.0,0.0,1.0,123.10810810810811,0.0,0.0,1.0,121.8688524590164,0.004962779156327543,0.3225806451612902,0.006557377049180328,0.4262295081967211,0.0,0.0,0.0,0.0,0.0,0.0,10.033929525613784,2.555698118486284,9.631412982940674,5.449344635009766,21.54479217529297,nan,nan,nan,nan,nan,0.112941995,1.521915,-0.006083429,-14.235385,26.06928,1.0240954,3.4357388,-0.41821846,-0.47625878,36.55641,1.8538235192497572,0.04621847535960084,1.8561483025550842,1.769798755645752,1.9290260076522827,3.6715934866418443,2.10206091736582,3.24690580368042,0.450795441865921,14.769551277160645,5.271699642340343,0.3329249195858358,5.248514413833618,4.059375762939453,7.196227073669434,1.0830767701814572,0.35408053133712664,1.033217191696167,0.3685091733932495,2.671191930770874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0056418106456597,0.05474006298472098,1.0117130875587463,0.9001471400260925,1.08735191822052,0.007542313401354477,0.0004105504784186515,0.00758784799836576,0.006751104723662138,0.008155138231813908,1.730664893388748,0.024953976624737764,1.7335729002952576,1.6854312419891357,1.7721537351608276,-0.0008921418675405827,0.00036175913849235085,-0.0008101578860078007,-0.0026411276776343584,-0.00026878382777795196,0.002943240105523728,0.001184889395828825,0.002742790151387453,0.0009500171290710568,0.008291094563901424,0.0009021418589448634,0.00036175912373696915,0.000820157874841243,0.00027878384571522474,0.0026511275209486485,0.010191978802245103,0.007528771205986568,0.009041886311024427,-0.005444682668894529,0.03686503320932388,0.7554265472789605,0.009438875929467766,0.7552037239074707,0.7261473536491394,0.7939652800559998
50311,411,214.18158769607544,61,1373,15878.914885044098,25043520,5800,4.007043631383291,3.7944825647512808,2169.185143273658,2197.6267672047866,0.5305187691434303,0.11032002414703435,122.41119221411192,17024.06870236906,114.0,9625.58925947972,0.05303030303030303,1.7803030303030305,1.0,121.22727272727273,0.0,0.0,1.0,123.77333333333333,0.0,0.0,1.0,120.91358024691358,0.0,0.0,1.0,123.22535211267606,0.0,0.0,1.0,123.35,0.0,0.0,1.0,122.8157894736842,0.0,0.0,1.0,121.7741935483871,0.005677210056772101,0.19059205190592055,0.007502679528403002,0.2518756698821008,0.0,0.0,0.0,0.0,0.0,0.0,7.937030299901962,1.4489546284500137,7.7059547901153564,5.2632832527160645,16.582138061523438,nan,nan,nan,nan,nan,0.094153374,1.2502271,-0.005194962,-10.91133,23.213388,0.7407939,2.7618418,-0.41802067,-0.4374108,31.141678,1.99358463515838,0.034714499967423026,1.9945359826087952,1.9291361570358276,2.052589178085327,2.1180310262242954,1.0853174636978173,1.886439323425293,0.4713355302810669,10.766369819641113,5.088705793619156,0.2628993836441287,5.0736846923828125,4.181859493255615,6.086056709289551,0.724443172638615,0.21504909225563448,0.7066169679164886,0.24224629998207092,1.6092101335525513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7776168025036653,0.07223249433349374,0.7777937054634094,0.6544829607009888,0.8999313116073608,0.005832125888749336,0.0005417436864226224,0.005833453265950084,0.004908622242510319,0.006749484688043594,1.8171266855796178,0.02456607752320225,1.8190026879310608,1.7722223997116089,1.860661268234253,-0.0005385094417700505,0.00021486010639175637,-0.0004953077586833388,-0.001651283702813089,-0.00016619778762105852,0.0017189156364959975,0.0006624873294092411,0.0015682440134696662,0.0005647509242407978,0.004856463056057692,0.0005485094466348528,0.0002148601065895612,0.0005053077766206115,0.00017619777645450085,0.001661283546127379,0.004620212764731662,0.004193610933479685,0.004372047958895564,-0.010062855668365955,0.018666479736566544,0.767311885903279,0.009731550159489306,0.767071545124054,0.7384551763534546,0.8065364956855774
50063,409,243.6780960559845,74,1665,18346.56138730049,30369600,7100,3.9990386926219657,3.8303566724619356,2158.3642531982928,2184.4759400910457,0.526817758869146,0.1116636852179707,122.40342298288509,16808.152641784152,114.0,9427.92087580658,0.031007751937984496,0.6201550387596901,1.0,121.4186046511628,0.0,0.0,1.0,123.61333333333333,0.0,0.0,1.0,121.17283950617283,0.0,0.0,1.0,122.97183098591549,0.0,0.0,1.0,123.15,0.0,0.0,1.0,122.86486486486487,0.0,0.0,1.0,121.8225806451613,0.0032599837000814994,0.06519967400163001,0.004301075268817204,0.0860215053763441,0.0,0.0,0.0,0.0,0.0,0.0,6.740789806292607,0.9521432169737601,6.555932998657227,5.154247760772705,11.573355674743652,nan,nan,nan,nan,nan,0.0781856,1.0362738,-0.0050169528,-9.919823,20.183165,0.5384909,2.2846837,-0.41756403,-0.45536363,28.273106,2.1029680490493776,0.025080234416209116,2.1064318418502808,2.0527093410491943,2.1429367065429688,1.3012094575166702,0.6295504558560022,1.154588758945465,0.3867610692977905,5.235757350921631,4.941204071044922,0.22641298426213813,4.914703130722046,4.2247772216796875,6.00327730178833,0.4944266763214882,0.16068830188551547,0.47518277168273926,0.14784617722034454,1.2772527933120728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5240312518981787,0.07801514474977686,0.526660829782486,0.3861555755138397,0.6542872786521912,0.003930234296533924,0.0005851135778373913,0.003949955804273486,0.0028961666394025087,0.0049071540124714375,1.9364416444301604,0.0446682595228703,1.9435070753097534,1.8607523441314697,2.0085036754608154,-0.0005275745464314241,0.0002588376520123472,-0.0004647317109629512,-0.0024525413755327463,-0.00017962789570447057,0.001508099885361914,0.000598032695834864,0.0013759122230112553,0.0006172128487378359,0.0041459957137703896,0.0005375745482272648,0.0002588376420053767,0.0004747316997963935,0.00018962791364174336,0.0024625412188470364,0.007784961119258207,0.0054320607542748195,0.0077344137243926525,-0.011544530279934406,0.024815110489726067,0.7798275788930746,0.01113092609874496,0.7795052528381348,0.7480286359786987,0.8206849694252014
49492,405,272.93669176101685,86,1935,20653.887766361237,35294400,8300,3.992202729044834,3.8529398431479214,2134.4184527568927,2161.832073646866,0.5200824689953443,0.1094671223604063,122.20246913580247,17075.277389844257,114.0,9552.053693542652,0.0,0.0,1.0,121.54761904761905,0.0,0.0,1.0,123.6027397260274,0.0,0.0,1.0,120.9113924050633,0.2622222222222222,9.73777777777778,1.0,121.65333333333334,0.0,0.0,1.0,123.075,0.0,0.0,1.0,123.25,0.0,0.0,1.0,122.13333333333334,0.048559670781893,1.8032921810699591,0.06364617044228695,2.363538295577131,0.0,0.0,0.0,0.0,0.0,0.0,6.18479572614034,0.5866489136106834,6.10277247428894,5.0279221534729,8.504079818725586,nan,nan,nan,nan,nan,0.073709406,0.91385347,-0.0055682063,-10.13243,16.717464,0.41100964,1.9674631,-0.4145139,-0.465409,23.674868,2.1792153326670327,0.019824944057453994,2.1794296503067017,2.1430013179779053,2.2125487327575684,0.970507421369354,0.3595592631280427,0.8987314999103546,0.34107574820518494,2.720060348510742,4.842072903712591,0.17305195665020068,4.835259437561035,4.243321895599365,5.5017781257629395,0.3702008423457543,0.10741707860152727,0.3625379651784897,0.12099847197532654,0.8401103615760803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26584434034923715,0.06959863832662898,0.26670825481414795,0.14591413736343384,0.38594257831573486,0.0019938325188316717,0.0005219897781575322,0.002000312088057399,0.001094356062822044,0.0028945691883563995,2.071969326933225,0.03840274973180117,2.0700653791427612,2.008589267730713,2.143717050552368,-0.0003431601298507303,0.00015388820362556956,-0.0003019192809006199,-0.0014005297562107444,-0.00012688635615631938,0.0014317144192561198,0.00046048473204184976,0.0013250929187051952,0.0006406403263099492,0.00375055568292737,0.00035316013671642094,0.00015388820533543559,0.0003119192988378927,0.00013688635954167694,0.001410529832355678,-0.0020415589784406997,0.004504332862279105,-0.0020806925604119897,-0.014781282283365726,0.012223013676702976,0.7876774681607882,0.011780152564318665,0.7873884737491608,0.7551092505455017,0.8276283144950867
48708,401,301.98866271972656,98,2204,22963.107372760773,40200960,9500,4.007043631383291,3.8717483363581366,2124.7697648168496,2151.841787304121,0.5196560763101276,0.1105003637132121,121.46633416458853,14871.029022259123,114.0,8334.50923814389,0.0,0.0,1.0,121.46341463414635,0.0,0.0,1.0,123.64383561643835,0.0,0.0,1.0,121.01351351351352,0.825,32.17500000000001,1.0,118.125,0.0,0.0,1.0,122.925,0.0,0.0,1.0,122.77777777777777,0.0,0.0,1.0,122.10526315789474,0.16458852867830423,6.418952618453868,0.21428571428571427,8.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0,5.867164699633916,0.38472029670707486,5.8229920864105225,4.993828296661377,7.484963893890381,nan,nan,nan,nan,nan,0.06545986,0.8187045,-0.005840361,-7.8788013,12.634795,0.34189388,1.7870251,-0.4103522,-0.46232376,17.743666,2.2384412157535554,0.016201908198000325,2.2356804609298706,2.212578773498535,2.2678682804107666,0.8091673716157675,0.2298153965193009,0.7685386538505554,0.3266124427318573,2.507169246673584,4.751224410931269,0.1238583438896247,4.744105577468872,4.294660568237305,5.2570414543151855,0.306417115132014,0.08372889587675199,0.2982219010591507,0.1184452474117279,0.6830065846443176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04449585701164223,0.047997266443496917,0.02683968562632799,9.99999993922529e-09,0.14571188390254974,0.00033371891922887395,0.0003599794883728078,0.00020129762560827658,7.499998538884611e-11,0.001092839171178639,2.2077584731578828,0.04283370141431726,2.200106382369995,2.1438097953796387,2.2849576473236084,-0.00024707920558891296,0.000106104805074822,-0.0002219649322796613,-0.0008861018577590585,-0.00010118407953996211,0.0020557175488890305,0.0010258204625182303,0.0018702915986068547,0.0007598185911774635,0.009009315632283688,0.0002570792109509057,0.0001061048071569263,0.00023196494294097647,0.00011118408292531967,0.0008961019921116531,-0.008922715289504595,0.005422581928332528,-0.009022422134876251,-0.02477106638252735,0.009952165186405182,0.7852463641762734,0.011163304976501304,0.7847625017166138,0.7533119916915894,0.8201090693473816
48649,402,331.24747467041016,110,2474,25280.61968398094,45125760,10700,3.992202729044834,3.8848941269908805,2125.0372548860787,2152.2090981494052,0.517796602067758,0.10904464670928551,121.01741293532338,31991.560227409358,114.0,17638.39217574385,0.18699186991869918,5.439024390243904,1.0,120.78048780487805,0.1050228310502283,4.283105022831051,1.0,123.17808219178082,0.0,0.0,1.0,120.95890410958904,1.0,39.000000000000014,1.0,117.0,0.0,0.0,1.0,122.975,0.0,0.0,1.0,122.30555555555556,0.0,0.0,1.0,122.0,0.23963515754560527,9.190713101160863,0.3127705627705627,11.995670995670999,0.0,0.0,0.0,0.0,0.0,0.0,5.935309314727784,0.3993326180140949,5.895707607269287,4.868842124938965,7.621740341186523,nan,nan,nan,nan,nan,0.064109154,0.8536317,-0.0069283545,-7.852428,13.036251,0.37876087,1.7736447,-0.40679285,-0.50615394,17.664843,2.3159574447075526,0.03375416681844541,2.3114627599716187,2.267911195755005,2.382230043411255,0.9209955447167159,0.27967436318942124,0.8813961446285248,0.3163425326347351,2.083726406097412,4.667906187772751,0.11962515934202812,4.6664018630981445,4.294198513031006,5.10028076171875,0.34638379421706,0.10696737700387667,0.3326006680727005,0.12151850014925003,0.850620448589325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.499999978126855e-11,3.917040777679142e-18,7.499999926663392e-11,7.499999232774002e-11,7.500001314442173e-11,2.379020483692487,0.057221329339400266,2.3787094354629517,2.2850611209869385,2.4781384468078613,-0.0002657821508910274,6.604507417333339e-05,-0.00025599237415008247,-0.0007155198836699128,-0.00012043658352922648,0.004358375175021744,0.0011756717452408622,0.004231249913573265,0.001520350924693048,0.010187527164816856,0.0002757821582417819,6.604507570240989e-05,0.00026599234843160957,0.00013043660146649927,0.0007255198433995247,-0.002905494391117524,0.00781664173938003,-0.003268921165727079,-0.02412206307053566,0.023121651262044907,0.7788495113948981,0.010439810051696592,0.7785963416099548,0.7480327486991882,0.815656304359436
