Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/reachv1_is_live,Traj_Infos/reachv1_is_live_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pushv1_is_live,Traj_Infos/pushv1_is_live_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/dooropenv1_is_live,Traj_Infos/dooropenv1_is_live_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/drawerclosev1_is_live,Traj_Infos/drawerclosev1_is_live_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/windowopenv1_is_live,Traj_Infos/windowopenv1_is_live_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/draweropenv1_is_live,Traj_Infos/draweropenv1_is_live_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/doorclosev1_is_live,Traj_Infos/doorclosev1_is_live_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
50103,409,36.202414989471436,0,0,99.14702439308167,0,0,0.0,0.0,nan,nan,nan,1.0,122.50122249388752,7343.829715614943,114.0,4105.955178397435,0.0,0.0,1.0,121.63829787234043,0.0,0.0,1.0,123.54,0.0,0.0,1.0,121.08064516129032,0.0,0.0,1.0,123.08620689655173,0.0,0.0,1.0,122.96103896103897,0.0,0.0,1.0,123.02898550724638,0.0,0.0,1.0,121.8695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49839,407,72.7062759399414,20,226,3216.911703109741,5152800,1700,3.3783573979195776,3.3783573979195776,1652.7225531726165,1672.3024452488921,0.5452624476776603,0.07735179000559751,122.45454545454545,14628.82651314104,113.96805896805897,8480.469104666874,0.15503875968992248,6.062015503875969,1.0,120.93023255813954,0.0,0.0,1.0,123.8,0.0,0.0,1.0,121.04838709677419,0.0,0.0,1.0,123.125,0.0,0.0,1.0,122.88461538461539,0.0,0.0,1.0,123.08823529411765,0.0,0.0,1.0,121.88,0.01638001638001638,0.6404586404586405,0.023068050749711647,0.9019607843137255,0.0,0.0,0.0,0.0,0.0,0.0,20197.831760027268,368439.62617997103,83.54202651977539,14.933595657348633,13367966.0,nan,nan,nan,nan,nan,9.036154,189.60019,-0.03603512,-106.15725,70780.0,15.490316,190.46028,-0.39177144,-40.181156,70779.89,1.2148510295503279,0.12674975379965397,1.2156598567962646,1.0,1.4296256303787231,32.80182612419129,6.537292253291429,35.28672790527344,6.51708459854126,39.551204681396484,4.498245485249687,0.44625547153447714,4.381453990936279,3.2482593059539795,7.62703275680542,20160.52500707949,368439.3082189091,43.40608215332031,3.330864906311035,13367923.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9558061805542778,0.038661556290840976,0.9505070745944977,0.9010511636734009,1.0535838603973389,0.007168546158491689,0.00028996159570578037,0.00712880352512002,0.006757884752005339,0.007901877164840698,1.191800923031919,0.11623162106070227,1.1940960884094238,0.9997982382774353,1.3857723474502563,-0.0021188400206799143,0.0016282233552581606,-0.0016549502615816891,-0.011531115509569645,7.833546987967566e-06,0.00907378684177114,0.007633778019226829,0.007143394555896521,2.493377360224258e-05,0.05806732550263405,0.0021288399932198926,0.0016282233224944862,0.0016649503959342837,2.166454351026914e-06,0.011541115120053291,0.026054440889180543,0.012864421960939844,0.024254826828837395,-0.00865740142762661,0.07880470156669617,0.6998082093280904,0.013718219334748077,0.6994071304798126,0.6742956638336182,0.7489009499549866
49411,405,109.40593242645264,39,439,6151.898917913437,10009200,3600,4.006259780907668,3.683011629301043,1654.657974489615,1675.6101326328512,0.6473622748394425,0.09166554915325485,122.00246913580247,16489.052909738817,113.91851851851852,9564.933239307522,0.18604651162790697,7.255813953488373,1.0,120.69767441860465,0.0,0.0,1.0,123.79166666666667,0.0,0.0,1.0,120.88135593220339,0.4731182795698925,18.919354838709676,1.0,120.14516129032258,0.0,0.0,1.0,123.02564102564102,0.0,0.0,1.0,122.98484848484848,0.0,0.0,1.0,122.14285714285714,0.09218106995884774,3.6666666666666674,0.12873563218390804,5.120689655172415,0.0,0.0,0.0,0.0,0.0,0.0,21.633972029685975,7.9910908926727116,20.172648429870605,7.07626485824585,57.369083404541016,nan,nan,nan,nan,nan,0.15566207,2.8498263,-0.009258866,-19.780857,53.55737,1.7880732,5.4433823,-0.40753937,-0.4395368,66.68019,1.6125089809141662,0.09979453862993362,1.61591374874115,1.4298454523086548,1.7793723344802856,11.639527426299296,6.025309704542076,10.570589065551758,0.6427822709083557,33.575889587402344,5.256279116178813,0.45789261844986023,5.273105621337891,3.285290479660034,7.957500457763672,4.730490795969963,2.3852973166317284,4.210657358169556,0.7338554263114929,21.752490997314453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0212639663093968,0.05732831270744471,1.0476937294006348,0.8902146816253662,1.0804868936538696,0.00765947959924999,0.00042996236355407393,0.007857702672481537,0.0066766091622412205,0.00810365192592144,1.51805078117471,0.06018922385485882,1.529013752937317,1.3859397172927856,1.6012376546859741,-0.0016262997872859399,0.0012740167104962358,-0.0013140610535629094,-0.012813405133783817,-8.460836397716776e-05,0.005126804890123343,0.004074026780841202,0.0038304475601762533,0.000555167905986309,0.03501785919070244,0.00163629975247252,0.001274016679858101,0.0013240610132925212,9.460837463848293e-05,0.012823404744267464,0.04898825199490315,0.01181455909275231,0.04850395582616329,0.012915229424834251,0.09140049666166306,0.7378769772617441,0.014435694739498493,0.7384680509567261,0.6896739602088928,0.7835614681243896
49515,406,145.8161301612854,59,665,9297.992234945297,15162000,5600,3.974538115199503,3.7820867959372113,1637.840801512315,1657.017709625937,0.6357090519765235,0.09061820114706111,121.95812807881774,17566.350671812306,113.95566502463055,10370.495131416415,0.06201550387596899,0.9457364341085273,1.0,121.27906976744185,0.0,0.0,1.0,123.5,0.0,0.0,1.0,121.1864406779661,0.6349206349206349,23.354497354497358,1.0,119.22222222222223,0.0,0.0,1.0,123.0,0.0,0.0,1.0,123.2089552238806,0.0,0.0,1.0,122.08510638297872,0.10509031198686371,3.724137931034484,0.1461187214611872,5.178082191780823,0.0,0.0,0.0,0.0,0.0,0.0,11.116035228729247,3.6000820590185527,10.476258277893066,5.291540622711182,27.854854583740234,nan,nan,nan,nan,nan,0.085816495,1.6676503,-0.0058394074,-9.724033,29.542295,0.8054283,3.0498908,-0.40860927,-0.4255614,36.136112,1.9185325556993484,0.07547317006682493,1.9238703846931458,1.779551386833191,2.0381991863250732,4.237951844364405,2.7648349752886583,3.5899347066879272,0.3275967836380005,18.72989273071289,5.283781230926514,0.3723955073238,5.3083882331848145,3.847731351852417,6.840726852416992,1.5890740168094635,0.7196479629445394,1.469963788986206,0.30660268664360046,6.112704277038574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6948635279089213,0.11727019412821395,0.703016996383667,0.4900507926940918,0.889996349811554,0.005211476355907507,0.0008795264673049734,0.005272626876831055,0.003675381187349558,0.006674973759800196,1.6668901844024657,0.038709910151539836,1.6699907779693604,1.6012871265411377,1.7373950481414795,-0.0004304880596118892,0.00027445821890780285,-0.00036690206616185606,-0.002984645077958703,-6.094361378927715e-05,0.0019839769961399723,0.0011799721139565396,0.0017214317340403795,0.00031371036311611533,0.009057268500328064,0.00044048806182036057,0.0002744582150318226,0.00037690209865104407,7.09436135366559e-05,0.0029946451541036367,0.03920465644914657,0.009074751539192755,0.038469986990094185,0.014943210408091545,0.0755394771695137,0.7420986847281456,0.011585863671797833,0.7414912581443787,0.7068126797676086,0.7876430749893188
48855,401,182.2193112373352,78,877,12232.97334241867,19995600,7500,4.0251572327044025,3.840844985896897,1646.8930541638422,1667.5763504511808,0.6473636219197493,0.09171476667669931,121.83291770573567,20841.656057651948,114.0,11897.453082970484,0.09090909090909091,3.5454545454545463,1.0,121.18181818181819,0.0,0.0,1.0,123.22916666666667,0.0,0.0,1.0,121.0,0.5416666666666666,21.520833333333336,1.0,119.6875,0.0,0.0,1.0,123.02564102564102,0.0,0.0,1.0,122.44615384615385,0.0,0.0,1.0,122.1086956521739,0.09642560266001662,3.8237738985868663,0.13333333333333333,5.287356321839081,0.0,0.0,0.0,0.0,0.0,0.0,7.357381776006598,2.001022060447669,6.815254211425781,4.646972179412842,19.941091537475586,nan,nan,nan,nan,nan,0.09664614,1.1946093,-0.0050049126,-9.435284,24.876068,0.37025365,2.0346193,-0.40176576,-0.44974893,30.144466,2.117262914055272,0.045278506286434504,2.1196168661117554,2.038278818130493,2.1909799575805664,1.769531544752811,1.4352125428208287,1.3206796646118164,0.23298107087612152,12.609322547912598,4.902062739823994,0.3555997968347309,4.858276128768921,3.2233259677886963,6.147918224334717,0.6835074893777308,0.3230707639032283,0.6203127205371857,0.11992036551237106,2.354804754257202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30148401952103565,0.11041899220630552,0.3019403666257858,0.10896962881088257,0.48987242579460144,0.00226113009401352,0.0008281424185134008,0.002264552633278072,0.000817272171843797,0.0036740428768098354,1.8867455937360462,0.09581749239042221,1.8817430138587952,1.7375092506408691,2.049100160598755,-0.0005955466228509689,0.0002506548477099654,-0.0005386598932091147,-0.0020901416428387165,-0.00016143437824212015,0.0017512001724313258,0.0007693098487721375,0.0015542436158284545,0.0005193324759602547,0.0075095039792358875,0.0006055466216639615,0.0002506548410577335,0.0005486598529387265,0.0001714343816274777,0.00210014171898365,0.042721196056196564,0.00825965755430825,0.04225773923099041,0.01772746630012989,0.0719052106142044,0.7394086374734578,0.011733779501699975,0.7391518354415894,0.702861487865448,0.7870091795921326
49396,405,218.91202330589294,98,1102,15338.90556693077,25125600,9500,3.992202729044834,3.8717483363581366,1651.6780242382313,1671.4238101006997,0.6439290542839108,0.09138390795220439,121.96543209876543,24391.235410959816,114.0,13796.917295707774,0.14728682170542637,5.744186046511629,1.0,120.74418604651163,0.02,0.5533333333333328,1.0,123.48,0.0,0.0,1.0,120.87931034482759,0.46236559139784944,18.91935483870968,1.0,119.85483870967742,0.0,0.0,1.0,123.15384615384616,0.0,0.0,1.0,123.01515151515152,0.0,0.0,1.0,122.14583333333333,0.08888888888888889,3.5744855967078193,0.12371134020618557,4.974799541809851,0.0,0.0,0.0,0.0,0.0,0.0,6.40972516655922,1.0867934014068747,6.1591408252716064,4.621488571166992,12.268231391906738,nan,nan,nan,nan,nan,0.08190637,1.0228767,-0.0045188665,-7.921122,19.767323,0.2946832,1.7948062,-0.39515445,-0.53598005,21.221256,2.2576228989362717,0.03686605838158724,2.2633204460144043,2.191038131713867,2.3191983699798584,1.153744386225939,0.6715864422144202,0.9678059220314026,0.2641538083553314,5.888521194458008,4.755838889360428,0.2476527535020417,4.724632263183594,4.16456937789917,5.9011993408203125,0.5000119930356741,0.21993466452367813,0.4579094350337982,0.043213747441768646,1.8938206434249878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014409893890826378,0.028841314157109034,9.99999993922529e-09,9.99999993922529e-09,0.10875892639160156,0.00010807420247571863,0.00021630985303174342,7.499999926663392e-11,7.499998538884611e-11,0.0008156918920576572,2.181607345700264,0.07937958974109798,2.1797821521759033,2.0492286682128906,2.320904016494751,-0.00037900208418795953,0.00016884939769580367,-0.00034477726148907095,-0.0017785194795578718,-0.00011616278061410412,0.0018916699969267938,0.0005815325962318184,0.001807483029551804,0.0005834403564222157,0.004694456700235605,0.0003890020856924821,0.00016884939660408542,0.00035477727942634374,0.0001261627912754193,0.0017885197885334492,0.04522809283342213,0.008570282916211243,0.04476424865424633,0.01796325296163559,0.07651075720787048,0.7485126684010028,0.013503202072915806,0.7480004131793976,0.6982920169830322,0.8014087677001953
49549,405,255.50441193580627,117,1315,18361.47933602333,29982000,11400,4.006259780907668,3.893536121673004,1606.7101652437066,1626.399960755131,0.628603351034314,0.08900486460983044,122.34320987654321,24097.30309203015,114.0,13613.454388771455,0.1956521739130435,7.369565217391305,1.0,120.47826086956522,0.04081632653061224,1.5918367346938778,1.0,123.6734693877551,0.0,0.0,1.0,121.05,0.0,0.0,1.0,122.9,0.0,0.0,1.0,123.1038961038961,0.0,0.0,1.0,122.73846153846154,0.0,0.0,1.0,121.9375,0.027160493827160494,1.0296296296296297,0.03767123287671233,1.4280821917808222,0.0,0.0,0.0,0.0,0.0,0.0,5.917875704514353,0.7311227825957095,5.7947680950164795,4.523780345916748,9.982758522033691,nan,nan,nan,nan,nan,0.07550603,0.9000782,-0.0047822,-7.0633707,15.903837,0.24398813,1.6182503,-0.3932878,-0.43073934,20.230427,2.3674089724139162,0.026802251782297837,2.365856885910034,2.319244623184204,2.4176883697509766,0.890024890131072,0.41629525050399285,0.8024583458900452,0.24576899409294128,3.395150661468506,4.647334180380168,0.19247432081702961,4.629491806030273,4.142890930175781,5.630178451538086,0.3804921681982906,0.15692389331954767,0.35814107954502106,0.05712709203362465,1.1675465106964111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.500000001530406e-11,4.33883606455817e-18,7.499999926663392e-11,7.499998538884611e-11,7.500001314442173e-11,2.447827945759422,0.08010066226014714,2.4380825757980347,2.3210604190826416,2.588759183883667,-0.000276039654150066,0.00016422621056115956,-0.0002387514032307081,-0.002559384098276496,-7.788645598338917e-05,0.0017139778842867695,0.00045023629925755067,0.0016525117680430412,0.0007531776209361851,0.0057145399041473866,0.00028603965545220204,0.00016422621117883314,0.00024875141389202327,8.788646664470434e-05,0.002569383941590786,0.04407553004591089,0.010189063789225216,0.04368922300636768,0.01426542829722166,0.08299091458320618,0.7541339073055668,0.013986062945756614,0.7542398273944855,0.7134451866149902,0.802544891834259
