Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pickplacev1_episode_success,Traj_Infos/pickplacev1_episode_success_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/buttonpresstopdownv1_episode_success,Traj_Infos/buttonpresstopdownv1_episode_success_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/basketballv1_episode_success,Traj_Infos/basketballv1_episode_success_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/shelfplacev1_episode_success,Traj_Infos/shelfplacev1_episode_success_traj_sum,Traj_Infos/sweepintov1_episode_success,Traj_Infos/sweepintov1_episode_success_traj_sum,Traj_Infos/leverpullv1_episode_success,Traj_Infos/leverpullv1_episode_success_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
60448,257,30.45998764038086,0,0,182.94890213012695,0,0,0.0,0.0,nan,nan,nan,1.0,235.20622568093384,4164.846854656094,225.0,1550.4661479695376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60942,259,61.81857943534851,16,80,2268.7411091327667,5222400,1500,1.838235294117647,1.838235294117647,2503.796870305111,2542.0144809459293,0.719151215046275,0.07080868674645872,235.2972972972973,23902.806685485062,225.0,8309.051136638323,0.043478260869565216,3.3043478260869548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003861003861003861,0.2934362934362933,0.005714285714285714,0.43428571428571405,0.0,0.0,0.0,0.0,0.0,0.0,10696.582394463858,161935.1309920655,157.03499603271484,10.949260711669922,5469745.0,nan,nan,nan,nan,nan,3.585625,137.2915,-0.71849215,-169.2068,39797.207,21.899393,139.65955,2.415695,-30.93092,39797.14,3.6922659930388133,1.5965116847342549,3.664434790611267,1.0,6.332099914550781,27.664166968067487,8.638833094308735,29.14041042327881,0.9659005999565125,38.928810119628906,4.263083468914032,0.13239070380138887,4.268789529800415,3.6565589904785156,5.333770751953125,10664.653492883046,161934.41553237155,123.60400009155273,4.8390212059021,5469702.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22516840076033687,0.31097330175496113,0.0920955166220665,9.99999993922529e-09,1.0336730480194092,0.0016887629809445596,0.0023322997367738116,0.0006907163769938052,7.499998538884611e-11,0.007752547040581703,1.8125186849832535,0.4638698094783345,1.8116458058357239,0.9968039393424988,2.455623149871826,-0.0005563025377014129,0.0009907385496949021,-0.0003132499987259507,-0.012488162145018578,8.149532732204534e-06,0.004975489114121956,0.004371406417359536,0.004023598739877343,8.262725714303087e-06,0.04941317066550255,0.0005663025305264758,0.0009907385112929434,0.0003232500166632235,1.8504681520425947e-06,0.012498161755502224,0.005901714673256114,0.03194156442515951,1.3788616342935711e-05,-0.07389600574970245,0.06997215747833252,0.7040782823959987,0.007101660324498216,0.702846884727478,0.6738933324813843,0.7570415735244751
60614,258,93.66623997688293,31,153,4205.818922758102,9987840,3000,2.0145044319097503,1.9223375624759709,2460.118001703425,2501.241118972776,0.7743622839769543,0.07556630538886992,234.93798449612405,28760.20882873084,225.0,9994.827279438572,0.17391304347826086,13.217391304347819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,25.333333333333318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,3.5348837209302304,0.06741573033707865,5.123595505617974,0.0,0.0,0.0,0.0,0.0,0.0,19.492707169850668,11.543253936301157,15.623957633972168,5.137845039367676,84.05294036865234,nan,nan,nan,nan,nan,0.06356363,4.1605544,-0.12327144,-56.465,92.870316,2.708178,8.646388,-0.074242644,-1.6698076,107.336105,7.653897346814474,0.5776187743202066,7.807013511657715,6.334810733795166,8.400409698486328,5.936453091807663,4.539405223933121,4.39197301864624,0.02999621257185936,21.98447036743164,4.231391992092132,0.09188094105833951,4.225386142730713,3.827214002609253,4.7626190185546875,9.32483553826809,7.180979446500165,7.0351645946502686,0.7679200768470764,59.463314056396484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.499999367388544e-11,4.4988654545962916e-18,7.499999232774002e-11,7.499998538884611e-11,7.500001314442173e-11,2.6480793205897015,0.09764988816480062,2.691649556159973,2.4559292793273926,2.7442541122436523,-3.667807330796435e-05,4.520016118078817e-05,-2.312219476152677e-05,-0.0003027762577403337,8.348076335096266e-06,0.00032714055993953177,0.0002910742209630355,0.0002261379049741663,1.853132198448293e-05,0.0016134661855176091,4.667807437772353e-05,4.520016275319162e-05,3.312219450890552e-05,1.6519245491508627e-06,0.00031277627567760646,0.05686582119266192,0.0027340782762838717,0.05702676624059677,0.04547051712870598,0.0648840069770813,0.6988095920085907,0.0029541211333979495,0.698038250207901,0.6935113072395325,0.7070887684822083
61325,261,125.52637600898743,47,232,6320.524746179581,15144960,4600,1.9856043683296103,1.9438810006761325,2438.693809267552,2475.9971567859657,0.7566064188593795,0.07393738726729208,234.96168582375478,31406.59791578301,225.0,10995.156747637944,0.21739130434782608,16.521739130434774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,19.826086956521728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421455938697318,3.203065134099615,0.06077348066298342,4.618784530386738,0.0,0.0,0.0,0.0,0.0,0.0,8.11759613275528,2.4076812524130746,7.465113878250122,4.739818572998047,23.338441848754883,nan,nan,nan,nan,nan,0.026411617,2.0929062,-0.076194525,-23.651577,41.404568,1.1698266,4.101054,-0.18982846,-0.63761365,44.617275,8.715908154249192,0.1439307910820672,8.740392208099365,8.401061058044434,8.929978370666504,1.4994654963258653,0.9238799784910467,1.2749439477920532,0.0735858678817749,7.781888484954834,4.231854744255543,0.0338253342168402,4.231785297393799,4.098298072814941,4.431729316711426,2.3862484292127193,1.506076178665636,1.9685184359550476,0.3029387593269348,11.79594612121582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.499999348133113e-11,4.387778917407994e-18,7.499999232774002e-11,7.499998538884611e-11,7.500001314442173e-11,2.7363569155335425,0.008538664117143787,2.741127133369446,2.719576835632324,2.745422601699829,4.4891969786187147e-07,5.713667684333305e-06,1.8160221202379034e-06,-2.4318629584740847e-05,8.682836778461933e-06,8.478976912101643e-05,7.08063352641255e-05,6.752131957910024e-05,9.058120667759795e-06,0.0005196707206778228,9.551080464262895e-06,5.71366785230683e-06,8.18397757029743e-06,1.3171635373510071e-06,3.431862569414079e-05,0.06836548040388152,0.00567316600345563,0.06900506094098091,0.056986819952726364,0.08090978115797043,0.698304001800716,0.001103453197953095,0.6981996297836304,0.695648193359375,0.7012419104576111
